iter	Passed	Remaining
0	772	771782
1	775	386895
2	780	259338
3	783	194995
4	786	156429
5	790	130989
6	796	112975
7	799	99096
8	801	88278
9	804	79687
10	835	75084
11	848	69899
12	854	64880
13	856	60335
14	870	57134
15	872	53636
16	874	50555
17	876	47809
18	878	45357
19	880	43148
20	893	41666
21	896	39874
22	905	38461
23	927	37701
24	929	36264
25	938	35167
26	942	33956
27	952	33057
28	954	31967
29	956	30936
30	958	29972
31	960	29061
32	967	28338
33	968	27524
34	970	26755
35	972	26037
36	975	25382
37	982	24883
38	985	24279
39	988	23719
40	995	23280
41	997	22758
42	1000	22262
43	1002	21786
44	1004	21316
45	1006	20868
46	1008	20441
47	1009	20027
48	1011	19635
49	1013	19253
50	1019	18967
51	1021	18615
52	1022	18274
53	1024	17945
54	1026	17633
55	1027	17327
56	1029	17032
57	1031	16750
58	1032	16474
59	1034	16208
60	1036	15952
61	1037	15703
62	1039	15461
63	1045	15291
64	1047	15063
65	1048	14841
66	1050	14631
67	1051	14412
68	1053	14209
69	1054	14012
70	1056	13824
71	1058	13638
72	1059	13458
73	1061	13283
74	1063	13112
75	1064	12946
76	1070	12837
77	1072	12679
78	1074	12525
79	1076	12374
80	1077	12226
81	1079	12082
82	1083	11974
83	1086	11848
84	1087	11710
85	1089	11579
86	1090	11445
87	1092	11320
88	1093	11197
89	1100	11122
90	1101	11007
91	1103	10891
92	1105	10779
93	1106	10669
94	1108	10560
95	1110	10454
96	1113	10367
97	1115	10265
98	1116	10165
99	1118	10066
100	1120	9970
101	1121	9869
102	1126	9812
103	1130	9739
104	1133	9661
105	1142	9632
106	1147	9577
107	1149	9491
108	1150	9407
109	1152	9324
110	1160	9293
111	1162	9213
112	1163	9133
113	1165	9055
114	1166	8979
115	1168	8901
116	1170	8834
117	1172	8763
118	1173	8689
119	1175	8619
120	1176	8549
121	1178	8481
122	1180	8416
123	1189	8401
124	1190	8336
125	1192	8271
126	1194	8209
127	1200	8178
128	1202	8117
129	1203	8056
130	1205	7996
131	1207	7937
