iter	Passed	Remaining
0	960	959628
1	963	480859
2	966	321106
3	972	242029
4	974	193986
5	977	161895
6	979	138996
7	981	121756
8	1027	113192
9	1030	102024
10	1039	93468
11	1042	85794
12	1044	79282
13	1046	73713
14	1055	69339
15	1058	65080
16	1060	61331
17	1062	57986
18	1066	55050
19	1084	53124
20	1086	50660
21	1097	48793
22	1099	46718
23	1102	44827
24	1104	43079
25	1113	41710
26	1115	40206
27	1121	38928
28	1133	37966
29	1136	36741
30	1142	35711
31	1145	34636
32	1147	33619
33	1165	33116
34	1168	32216
35	1175	31486
36	1179	30689
37	1193	30209
38	1196	29492
39	1199	28783
40	1208	28258
41	1211	27639
42	1214	27039
43	1224	26597
44	1226	26032
45	1229	25490
46	1231	24967
47	1239	24592
48	1246	24186
49	1257	23888
50	1259	23435
51	1261	23005
52	1270	22692
53	1272	22283
54	1273	21888
55	1275	21507
56	1277	21143
57	1284	20869
58	1287	20533
59	1289	20205
60	1301	20035
61	1304	19734
62	1307	19440
63	1317	19267
64	1320	18988
65	1323	18723
66	1325	18461
67	1329	18220
68	1331	17966
69	1334	17727
70	1337	17494
71	1345	17344
72	1347	17117
73	1379	17260
74	1382	17044
75	1384	16831
76	1392	16688
77	1394	16488
78	1413	16483
79	1416	16292
80	1427	16192
81	1429	15998
82	1430	15801
83	1432	15621
84	1444	15554
85	1447	15382
86	1450	15218
87	1465	15186
88	1467	15026
89	1470	14868
90	1473	14717
91	1480	14610
92	1482	14458
93	1484	14309
94	1486	14163
95	1489	14027
96	1491	13889
97	1494	13752
98	1509	13740
99	1541	13870
100	1543	13737
101	1545	13606
102	1548	13482
103	1553	13385
104	1555	13261
105	1565	13200
106	1567	13081
107	1569	12964
108	1572	12857
109	1581	12799
110	1614	12928
111	1616	12816
112	1619	12713
113	1629	12666
114	1647	12676
115	1650	12578
116	1652	12471
117	1659	12403
118	1661	12303
119	1664	12208
120	1677	12186
121	1679	12087
122	1681	11991
123	1683	11896
124	1693	11854
125	1696	11767
126	1698	11675
127	1705	11619
128	1708	11533
129	1710	11448
130	1712	11362
131	1773	11663
132	1848	12048
133	1858	12013
134	1861	11930
135	1869	11874
136	1872	11792
137	1874	11707
138	1876	11624
139	1878	11542
140	1881	11462
141	1882	11376
142	1885	11297
143	1916	11391
144	1918	11313
145	1929	11283
146	1931	11206
147	1933	11130
148	1936	11057
149	1964	11129
150	1966	11056
151	1977	11032
152	1980	10962
153	1982	10893
154	1994	10875
155	2026	10965
156	2028	10894
157	2030	10822
158	2036	10769
159	2039	10707
160	2040	10634
161	2043	10568
162	2044	10500
163	2047	10434
164	2055	10402
165	2057	10336
166	2059	10273
167	2061	10211
168	2072	10189
169	2074	10128
170	2081	10091
171	2084	10033
172	2086	9974
173	2088	9915
174	2094	9871
175	2096	9816
176	2098	9759
177	2101	9704
178	2103	9648
179	2109	9608
180	2112	9556
181	2116	9513
182	2118	9459
183	2128	9437
184	2130	9387
185	2133	9335
186	2141	9311
187	2144	9263
188	2147	9214
189	2149	9163
190	2158	9142
191	2160	9093
192	2163	9046
193	2165	8997
194	2173	8972
195	2175	8924
196	2177	8877
197	2180	8833
198	2187	8806
199	2190	8762
200	2193	8718
201	2195	8674
202	2204	8654
203	2206	8608
204	2208	8564
205	2210	8520
206	2217	8496
207	2220	8454
208	2222	8411
209	2224	8367
210	2226	8324
211	2235	8308
